date,TOTALCOST,VENDOR_ID,EXPENSECATEGORY_ID,status
"2017-07-31 00:00:00",17.00,1039248,21560,3
"2017-08-01 00:00:00",11.00,1039248,21560,3
"2017-08-02 00:00:00",2.00,1039248,21560,3
"2017-08-03 00:00:00",10.00,1039248,21560,3
"2017-08-04 00:00:00",6.00,1039248,21560,3
"2017-08-07 00:00:00",16.00,1039248,21560,3
"2017-08-08 00:00:00",5.00,1039248,21560,3
"2017-08-09 00:00:00",7.00,1039248,21560,3
"2017-08-10 00:00:00",4.00,1039248,21560,3
"2017-08-11 00:00:00",8.00,1039248,21560,3
"2017-08-14 00:00:00",24.00,1039248,21560,3
"2017-08-15 00:00:00",6.00,1039248,21560,3
"2017-08-16 00:00:00",5.00,1039248,21560,3
"2017-08-17 00:00:00",9.00,1039248,21560,3
"2017-08-18 00:00:00",8.00,1039248,21560,3
"2017-08-21 00:00:00",16.00,1039248,21560,3
"2017-08-22 00:00:00",10.00,1039248,21560,3
"2017-08-23 00:00:00",7.00,1039248,21560,3
"2017-08-24 00:00:00",2.00,1039248,21560,3
"2017-08-25 00:00:00",8.00,1039248,21560,3
"2017-08-28 00:00:00",2.50,415037,21510,3
"2017-08-28 00:00:00",27.00,1039248,21560,3
"2017-08-29 00:00:00",8.00,1039248,21560,3
"2017-08-30 00:00:00",4.00,1039248,21560,3
"2017-08-31 00:00:00",4.00,1039248,21560,3
"2017-07-10 00:00:00",2.50,2196332,29132,3
"2017-08-31 07:00:00",15.00,8233528,31559,2
"2017-08-31 07:00:00",15.26,618206,31559,2
"2017-08-31 00:00:00",20.00,8233536,31566,2
"2017-08-31 07:00:00",7.75,26477,31567,2
"2017-08-30 07:00:00",32.00,11838,31584,2
"2017-08-30 07:00:00",2.16,71631,31567,2
"2017-08-30 07:00:00",3.25,26477,31567,2
"2017-08-30 07:00:00",6.48,26477,31567,2
"2017-08-29 07:00:00",5.71,5638512,31567,2
"2017-08-29 07:00:00",10.85,771790,31567,2
"2017-08-28 07:00:00",4.10,8233537,31559,2
"2017-08-28 07:00:00",46.72,618206,31559,2
"2017-08-28 07:00:00",9.75,3363910,31584,2
"2017-08-28 07:00:00",36.55,52550,31559,2
"2017-08-28 07:00:00",2.18,26477,31567,2
"2017-08-28 07:00:00",15.00,52550,31559,2
"2017-08-28 07:00:00",8.94,1458935,31567,2
"2017-08-28 07:00:00",2.41,15196,31559,2
"2017-08-28 07:00:00",6.43,36552,31567,2
"2017-08-28 07:00:00",2.42,15196,31559,2
"2017-08-28 07:00:00",43.70,8233538,31559,2
"2017-08-28 07:00:00",6.13,26477,31567,2
"2017-08-28 07:00:00",7.26,84428,31567,2
"2017-08-25 07:00:00",39.20,52550,31559,2
"2017-08-25 07:00:00",2.15,618188,31567,2
"2017-08-25 07:00:00",6.48,618188,31567,2
"2017-08-24 07:00:00",35.00,709421,31559,2
"2017-08-23 07:00:00",8.64,618182,31567,2
"2017-08-23 07:00:00",11.65,26477,31567,2
"2017-08-22 07:00:00",35.55,11838,31584,2
"2017-08-22 07:00:00",4.35,84428,31567,2
"2017-08-21 07:00:00",15.00,15196,31559,2
"2017-08-21 07:00:00",20.02,8233540,31559,2
"2017-08-21 07:00:00",7.67,3363910,31584,2
"2017-08-21 07:00:00",15.02,52550,31559,2
"2017-08-21 07:00:00",5.44,618163,31567,2
"2017-08-21 07:00:00",271.47,11912,31542,2
